Textbox38,Textbox51,Textbox55,Textbox180,Textbox175,Textbox6,Textbox115,Textbox129,Textbox13,Textbox15,Textbox17,Textbox19,Textbox21,Textbox23,Textbox25,Textbox29,Textbox27,Textbox11,Textbox22,Textbox32,Textbox80,Textbox40,Textbox46,Textbox54,Textbox74,Textbox181,MONITOR_NAME,ADMIN_IM_YEAR,ADMIN_IM_MONTH1,STATE_NAME,DISTRICT_NAME,COMP_S,COMP_SRI,COMP_U,C_GRADE_COUNT_T,ONGOING_S,ONGOING_SRI,ONGOING_U,P_GRADE_COUNT_T,MAINT_S,MAINT_SRI,MAINT_U,M_GRADE_COUNT_T,LSB_S,LSB_SRI,LSB_U,L_GRADE_COUNT_T,Textbox132,Textbox136,Textbox137,Textbox138,Textbox139,Textbox140,Textbox141,Textbox142,Textbox143,MAINT_S1,MAINT_SRI1,MAINT_U1,M_GRADE_COUNT_T1,LSB_S1,LSB_SRI1,LSB_U1,L_GRADE_COUNT_T1,Textbox199,Textbox204,Textbox205,Textbox206,Textbox207,Textbox208,Textbox209,Textbox210,Textbox211,Textbox16,Textbox28,Textbox35,Textbox83,Textbox43,Textbox49,Textbox58,Textbox77
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,2,AB Majid Khan  ,2023,May,Uttar Pradesh,Bahraich,1,0,0,1,6,0,0,6,0,0,0,0,0,0,0,0,Total,14,7,0,21,26,6,3,35,10,0,0,10,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,2,AB Majid Khan  ,2023,May,Uttar Pradesh,Sitapur,1,0,0,1,5,0,0,5,0,0,0,0,0,0,0,0,Total,14,7,0,21,26,6,3,35,10,0,0,10,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,2,AB Majid Khan  ,2023,June,Chhattisgarh,Surguja,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,Total,14,7,0,21,26,6,3,35,10,0,0,10,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,2,AB Majid Khan  ,2023,June,Chhattisgarh,Balrampur,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Total,14,7,0,21,26,6,3,35,10,0,0,10,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,2,AB Majid Khan  ,2023,June,Chhattisgarh,Surajpur,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,Total,14,7,0,21,26,6,3,35,10,0,0,10,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,2,AB Majid Khan  ,2023,August,Chhattisgarh,Kanker,2,0,0,2,1,0,1,2,2,0,0,2,0,0,0,0,Total,14,7,0,21,26,6,3,35,10,0,0,10,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,2,AB Majid Khan  ,2023,August,Chhattisgarh,Rajnandgaon,1,0,0,1,1,0,0,1,4,0,0,4,0,0,0,0,Total,14,7,0,21,26,6,3,35,10,0,0,10,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,2,AB Majid Khan  ,2023,September,Arunachal Pradesh,East Kameng,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,Total,14,7,0,21,26,6,3,35,10,0,0,10,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,2,AB Majid Khan  ,2023,October,Gujarat,Bhavnagar,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,Total,14,7,0,21,26,6,3,35,10,0,0,10,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,2,AB Majid Khan  ,2023,October,Gujarat,Amreli,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,Total,14,7,0,21,26,6,3,35,10,0,0,10,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,2,AB Majid Khan  ,2023,October,Gujarat,Junagadh,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,Total,14,7,0,21,26,6,3,35,10,0,0,10,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,2,AB Majid Khan  ,2023,November,Odisha,Rayagada,0,0,0,0,3,1,0,4,2,0,0,2,0,0,0,0,Total,14,7,0,21,26,6,3,35,10,0,0,10,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,2,AB Majid Khan  ,2023,November,Odisha,Ganjam,0,0,0,0,3,2,0,5,1,0,0,1,0,0,0,0,Total,14,7,0,21,26,6,3,35,10,0,0,10,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,3,Abdul Majid Shabnam  ,2023,February,Uttar Pradesh,Hardoi,1,0,0,1,4,0,2,6,0,0,0,0,0,0,0,0,Total,5,1,0,6,34,4,4,42,7,2,0,9,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,3,Abdul Majid Shabnam  ,2023,February,Uttar Pradesh,Unnao,1,0,0,1,4,0,0,4,0,0,0,0,0,0,0,0,Total,5,1,0,6,34,4,4,42,7,2,0,9,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,3,Abdul Majid Shabnam  ,2023,May,Jharkhand,Khunti,0,0,0,0,6,2,0,8,0,0,0,0,0,0,0,0,Total,5,1,0,6,34,4,4,42,7,2,0,9,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,3,Abdul Majid Shabnam  ,2023,May,Jharkhand,Gumla,1,0,0,1,4,1,0,5,0,0,0,0,0,0,0,0,Total,5,1,0,6,34,4,4,42,7,2,0,9,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,3,Abdul Majid Shabnam  ,2023,June,Madhya Pradesh,Sehore,2,1,0,3,2,0,0,2,0,0,0,0,0,0,0,0,Total,5,1,0,6,34,4,4,42,7,2,0,9,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,3,Abdul Majid Shabnam  ,2023,June,Madhya Pradesh,Hoshangabad,0,0,0,0,6,1,0,7,0,0,0,0,0,0,0,0,Total,5,1,0,6,34,4,4,42,7,2,0,9,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,3,Abdul Majid Shabnam  ,2023,August,Andhra Pradesh,Vizianagaram,0,0,0,0,2,0,0,2,4,0,0,4,0,0,0,0,Total,5,1,0,6,34,4,4,42,7,2,0,9,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,3,Abdul Majid Shabnam  ,2023,August,Andhra Pradesh,Visakhapatnam,0,0,0,0,1,0,2,3,2,2,0,4,0,0,0,0,Total,5,1,0,6,34,4,4,42,7,2,0,9,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,3,Abdul Majid Shabnam  ,2023,October,Arunachal Pradesh,East Kameng,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,Total,5,1,0,6,34,4,4,42,7,2,0,9,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,3,Abdul Majid Shabnam  ,2023,October,Arunachal Pradesh,West Kameng,0,0,0,0,3,0,0,3,1,0,0,1,0,0,0,0,Total,5,1,0,6,34,4,4,42,7,2,0,9,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,4,Ajay kumar agarwal,2023,March,Assam,Baksa,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,Total,1,0,0,1,10,0,0,10,2,0,1,3,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,4,Ajay kumar agarwal,2023,March,Assam,Nalbari,1,0,0,1,2,0,0,2,2,0,1,3,0,0,0,0,Total,1,0,0,1,10,0,0,10,2,0,1,3,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,5,Ajit Sonba Upale,2023,February,Chhattisgarh,Jashpur,0,0,0,0,2,0,0,2,5,0,0,5,0,0,0,0,Total,0,0,0,0,4,0,0,4,11,0,0,11,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,5,Ajit Sonba Upale,2023,February,Chhattisgarh,Balrampur,0,0,0,0,2,0,0,2,6,0,0,6,0,0,0,0,Total,0,0,0,0,4,0,0,4,11,0,0,11,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,6,Anil Kumar  Bihar,2023,January,Rajasthan,Sawaimadhopur,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Total,5,2,0,7,2,0,1,3,0,0,0,0,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,6,Anil Kumar  Bihar,2023,January,Rajasthan,Kota,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,Total,5,2,0,7,2,0,1,3,0,0,0,0,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,6,Anil Kumar  Bihar,2023,January,Rajasthan,Baran,2,1,0,3,2,0,0,2,0,0,0,0,0,0,0,0,Total,5,2,0,7,2,0,1,3,0,0,0,0,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,7,Anil Kumar Jain,2023,January,Bihar,Nawada,1,0,0,1,3,0,0,3,2,0,0,2,0,0,0,0,Total,5,0,1,6,24,0,1,25,3,0,0,3,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,7,Anil Kumar Jain,2023,February,Maharashtra,Buldhana,0,0,0,0,7,0,0,7,1,0,0,1,0,0,0,0,Total,5,0,1,6,24,0,1,25,3,0,0,3,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,7,Anil Kumar Jain,2023,February,Maharashtra,Jalna,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,Total,5,0,1,6,24,0,1,25,3,0,0,3,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,7,Anil Kumar Jain,2023,April,Arunachal Pradesh,West Kameng,1,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,Total,5,0,1,6,24,0,1,25,3,0,0,3,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,7,Anil Kumar Jain,2023,May,Odisha,Gajapati,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,Total,5,0,1,6,24,0,1,25,3,0,0,3,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,7,Anil Kumar Jain,2023,May,Odisha,Ganjam,1,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,Total,5,0,1,6,24,0,1,25,3,0,0,3,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,8,Anugrah  Prakash,2023,January,Himachal Pradesh,Kangra,0,1,0,1,2,0,0,2,1,0,0,1,0,0,0,0,Total,0,1,0,1,5,0,0,5,1,0,0,1,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,8,Anugrah  Prakash,2023,January,Himachal Pradesh,Kullu,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,Total,0,1,0,1,5,0,0,5,1,0,0,1,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,9,Arun Kumar Singh,2023,February,Tamil Nadu,Ramanathapuram,2,0,0,2,5,0,0,5,0,0,0,0,0,0,0,0,Total,14,2,1,17,24,0,0,24,2,0,0,2,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,9,Arun Kumar Singh,2023,February,Tamil Nadu,Sivagangai,2,0,0,2,4,0,0,4,0,0,0,0,0,0,0,0,Total,14,2,1,17,24,0,0,24,2,0,0,2,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,9,Arun Kumar Singh,2023,April,Meghalaya,Jaintia,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,Total,14,2,1,17,24,0,0,24,2,0,0,2,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,9,Arun Kumar Singh,2023,April,Meghalaya,West Khasi Hills,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Total,14,2,1,17,24,0,0,24,2,0,0,2,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,9,Arun Kumar Singh,2023,July,Uttar Pradesh,Pratapgarh,4,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,Total,14,2,1,17,24,0,0,24,2,0,0,2,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,9,Arun Kumar Singh,2023,July,Uttar Pradesh,Kaushambi,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,Total,14,2,1,17,24,0,0,24,2,0,0,2,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,9,Arun Kumar Singh,2023,September,Kerala,Idukki,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,Total,14,2,1,17,24,0,0,24,2,0,0,2,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,9,Arun Kumar Singh,2023,September,Kerala,Ernakulam,0,0,0,0,3,0,0,3,1,0,0,1,0,0,0,0,Total,14,2,1,17,24,0,0,24,2,0,0,2,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
